enrollment_id,student_id,course_id,enrollment_date,grade
97,4106,912,2023-10-02,B
98,5608,2643,2023-05-03,A
99,942,2641,2023-12-09,A
100,8697,1588,2023-10-16,A
101,6792,561,2023-09-25,A
102,4985,3565,2023-09-09,A
103,9612,7132,2023-04-18,A
104,3092,7326,2023-03-29,A
105,1859,4944,2023-01-23,A
106,6996,2321,2023-11-30,B
107,8810,5647,2023-10-18,A
108,4967,8607,2023-03-01,A
109,9862,4749,2023-07-24,B
110,271,1705,2023-03-16,A
111,4052,9948,2023-03-21,B
112,7598,3781,2023-05-14,B
113,7706,907,2023-11-01,A
114,7600,4884,2023-10-24,A
115,2369,1507,2023-12-07,B
116,6828,1271,2023-05-22,B
117,75,3764,2023-02-12,A
118,2585,7905,2023-10-19,B
119,367,6430,2023-11-14,B
120,6541,4901,2023-06-27,B
121,3821,30,2023-02-08,A
122,642,3190,2023-07-29,A
123,625,1511,2023-05-29,A
124,2292,9858,2023-09-25,A
125,5284,8901,2023-02-10,B
126,6769,4215,2023-11-25,A
127,3648,4671,2023-09-26,B
128,2958,674,2023-07-11,A
129,8796,2608,2023-04-24,B
130,7226,9819,2023-03-27,B
131,5912,6658,2023-06-03,B
132,2325,8229,2023-07-23,B
133,8338,3178,2023-11-21,A
134,1542,3214,2023-10-31,B
135,3493,4776,2023-08-20,A
136,3138,7690,2023-01-27,A
137,3386,635,2023-09-03,A
138,6902,4933,2023-07-31,A
139,3108,546,2023-08-20,B
140,6727,7468,2023-04-05,A
141,5467,7169,2023-01-12,B
142,220,3969,2023-01-21,A
143,2504,484,2023-06-26,A
144,758,4496,2023-12-15,B
145,7098,2859,2023-09-04,B
146,3153,6470,2023-09-08,B
147,6476,7297,2023-04-09,A
148,5767,8672,2023-05-15,A
149,3271,3482,2023-03-20,B
150,4826,1566,2023-08-22,A
151,225,4957,2023-07-25,B
152,6071,3312,2023-02-21,A
153,3948,4347,2022-12-27,B
154,2358,2575,2023-05-25,A
155,8943,911,2023-03-16,B
156,6311,3862,2023-12-09,A
157,306,670,2023-09-25,A
158,3472,6895,2023-07-27,B
159,5910,695,2023-05-27,B
160,5898,9616,2023-12-08,A
161,4235,1941,2023-04-11,B
162,4875,6849,2023-01-05,B
163,8894,1818,2023-09-26,B
164,5663,8587,2023-05-20,A
165,1956,7906,2023-08-11,A
166,1937,5934,2023-08-04,A
167,5892,4978,2023-04-03,A
168,3987,6559,2023-11-22,A
169,9996,6477,2023-09-26,A
170,5547,93,2023-08-05,B
171,2759,7255,2023-03-06,B
172,7062,680,2023-10-03,B
173,8541,5592,2023-09-28,A
174,7505,2818,2023-10-26,B
175,2315,3355,2022-12-29,B
176,5904,2284,2023-08-09,A
177,7305,1469,2023-06-07,A
178,7411,8836,2023-10-13,A
179,228,1504,2023-04-17,B
180,7831,150,2023-04-02,B
181,7386,9437,2023-06-22,B
182,9053,4780,2023-04-20,B
183,6591,4869,2023-07-09,B
184,7482,2695,2023-11-15,B
185,2209,9865,2023-09-15,A
186,1421,5390,2023-09-15,B
187,8296,9661,2023-08-20,B
188,295,7143,2023-06-29,A
189,9107,7378,2023-01-07,B
190,9834,2043,2023-11-26,B
191,5069,3016,2022-12-27,A
192,1979,8935,2023-02-07,B
193,8192,316,2023-04-11,A
194,9380,4662,2023-06-17,A
195,3782,3336,2023-06-11,B
196,7304,6534,2023-11-25,A
197,8711,957,2023-02-10,A
198,6003,8837,2023-05-11,A
199,3331,3535,2023-03-17,B
200,5997,6556,2023-07-01,A
201,7006,2206,2023-12-22,A
202,7203,5666,2023-04-21,B
203,2906,4685,2023-07-04,B
204,3229,7738,2023-01-28,A
205,1992,4560,2023-04-17,A
206,1711,7244,2023-11-13,A
207,5266,5214,2023-12-13,B
208,7706,1422,2023-07-30,B
209,6458,5230,2023-04-19,B
210,602,8455,2023-12-05,B
211,3460,6379,2023-10-28,B
212,7700,3145,2023-09-18,A
213,587,1857,2023-03-23,A
214,7613,1957,2023-04-13,B
215,3474,781,2023-08-17,B
216,4899,9285,2023-10-20,A
217,8750,1386,2023-11-28,B
218,4176,3148,2023-08-27,B
219,3415,7247,2023-05-18,B
220,3029,547,2023-08-11,B
221,2086,606,2023-04-19,A
222,9878,3274,2023-04-21,A
223,9066,3765,2023-10-24,B
224,9313,6049,2023-09-29,A
225,9976,9744,2023-02-05,A
226,7266,2144,2023-01-31,B
227,4083,5909,2023-03-31,B
228,1858,3043,2023-01-05,B
229,6475,5133,2023-05-09,B
230,272,3963,2023-01-28,A
231,8584,3564,2023-10-08,B
232,2017,1155,2023-01-02,B
233,6535,7254,2023-04-23,A
234,7806,4348,2023-02-22,B
235,7882,3697,2023-06-29,A
236,995,5670,2023-06-10,B
237,2913,5165,2023-04-08,B
238,8364,2051,2023-06-17,B
239,2817,5100,2023-04-09,B
240,8571,3025,2023-01-13,B
241,1667,4392,2023-04-12,A
242,7250,1368,2023-06-20,A
243,1469,3299,2023-10-07,A
244,6463,676,2023-07-30,B
245,7657,4506,2023-01-08,A
246,2680,587,2023-06-27,A
247,8870,6217,2023-07-12,A
248,5219,4906,2023-02-02,B
249,1565,8918,2022-12-26,A
250,3871,1224,2023-07-11,B
251,827,7524,2023-06-18,A
252,146,1396,2023-04-28,B
253,2944,9182,2023-04-08,B
254,7931,6159,2023-04-11,B
255,1617,8513,2023-03-16,A
256,1989,866,2023-02-20,B
257,995,7324,2023-08-12,B
258,105,1916,2023-01-18,A
259,5130,3892,2023-07-27,B
260,1116,9587,2023-07-08,A
261,7070,2854,2023-09-02,B
262,4463,2132,2023-04-01,B
263,7949,9892,2023-06-01,B
264,5031,39,2023-06-19,B
265,1616,1928,2023-07-01,B
266,6508,8007,2023-12-04,B
267,1114,9985,2023-04-26,A
268,4990,6113,2023-06-01,B
269,1337,7818,2023-06-20,A
270,4400,6222,2023-03-09,A
271,719,921,2023-09-24,B
272,34,1744,2023-02-11,B
273,3375,3341,2023-04-26,A
274,4652,4625,2023-01-22,A
275,2278,5525,2023-11-24,B
276,4458,198,2023-03-20,B
277,4509,136,2023-04-05,B
278,5335,595,2023-04-12,A
279,4433,2956,2023-10-29,B
280,8235,5567,2023-08-30,B
281,5342,9869,2023-08-23,B
282,5013,4081,2023-06-10,A
283,6792,230,2023-11-24,A
284,3526,8126,2023-12-21,B
285,9183,8317,2023-07-28,B
286,3987,4284,2023-01-11,A
287,3750,5479,2023-05-12,A
288,2975,2032,2023-11-08,A
289,6631,2960,2023-06-27,B
290,3487,517,2023-10-06,B
291,8920,7428,2023-12-09,B
292,6921,5769,2023-03-03,A
293,1223,6838,2023-12-03,A
294,8886,8158,2023-07-25,B
295,8536,4119,2023-06-24,A
296,7898,1777,2023-06-16,A
297,7559,5914,2023-04-15,B
298,2889,4308,2023-09-09,A
299,8558,8484,2023-04-20,B
300,1130,832,2023-11-25,A
301,4400,7979,2023-04-22,B
302,7600,9388,2023-07-24,A
303,230,3563,2023-04-06,A
304,3288,1642,2023-02-21,B
305,8983,4500,2023-06-03,A
306,4665,528,2023-02-10,A
307,2272,6436,2023-06-10,B
308,1425,4617,2023-02-04,A
309,4582,2301,2023-03-14,A
310,6190,5268,2023-03-14,A
311,1917,448,2023-04-30,A
312,6031,6854,2023-05-11,A
313,3090,4475,2023-08-31,A
314,1203,9702,2023-06-27,B
315,2251,5086,2023-02-09,B
316,4588,8570,2023-01-25,B
317,1332,7506,2023-08-16,B
318,5143,268,2023-05-21,B
319,6010,3802,2023-11-17,A
320,4565,2320,2023-03-09,A
321,9033,7523,2023-12-04,B
322,8437,2199,2023-05-29,A
323,2044,4764,2023-03-17,A
324,7639,5777,2023-05-19,A
325,4581,5418,2023-08-22,A
326,2379,439,2023-06-21,A
327,4736,1728,2023-07-14,B
328,1547,6830,2023-01-09,B
329,6734,2515,2023-09-27,A
330,4415,9161,2023-09-20,B
331,8860,8379,2023-06-12,A
332,1211,1764,2023-06-16,A
333,7630,6234,2023-02-23,A
334,8692,5334,2023-12-01,B
335,3104,4583,2023-08-13,A
336,542,9895,2023-03-11,B
337,4290,2741,2023-11-22,B
338,7294,8586,2023-11-14,B
339,4223,2699,2023-11-22,B
340,7628,82,2023-03-23,B
341,4273,9260,2023-08-17,B
342,7657,9426,2023-07-24,A
343,133,3095,2023-06-20,B
344,5224,7849,2023-08-14,A
345,901,1530,2023-06-25,A
346,5875,8943,2023-04-08,B
347,1861,3421,2023-10-28,B
348,2180,8852,2023-03-16,A
349,6995,8888,2023-08-19,A
350,2631,1363,2023-01-31,A
351,5783,7389,2023-01-06,B
352,251,3834,2023-02-18,A
353,7662,6560,2022-12-29,B
354,7491,9296,2023-07-29,A
355,8686,7009,2023-01-29,A
356,2565,1110,2023-03-11,B
357,6134,2850,2023-05-23,A
358,5956,7673,2023-12-04,B
359,5841,804,2023-04-29,A
360,904,4278,2023-02-09,A
361,6724,1965,2023-01-04,A
362,2858,7201,2023-03-26,B
363,5488,767,2023-03-28,A
364,644,9567,2023-05-21,A
365,6359,9353,2023-03-17,A
366,8801,2890,2023-03-04,A
367,3640,3535,2023-04-20,A
368,5538,8211,2023-07-13,B
369,4531,9941,2023-05-13,A
370,5313,4378,2023-05-19,B
371,5245,6364,2023-05-14,A
372,8404,8023,2023-06-27,A
373,7520,6263,2023-02-06,A
374,8660,8342,2023-05-27,A
375,963,3921,2023-04-22,A
376,8860,8901,2023-03-08,A
377,812,5310,2023-07-25,A
378,855,354,2023-01-20,A
379,7243,1296,2023-07-02,B
380,5075,5779,2023-08-11,A
381,3978,6901,2023-09-20,A
382,3081,8923,2023-06-09,A
383,4374,1572,2023-07-03,B
384,628,6235,2023-01-17,B
385,843,986,2023-09-26,B
386,8057,3124,2023-10-31,B
387,5066,1676,2023-08-28,A
388,4841,1574,2023-08-22,A
389,9976,3872,2023-01-12,B
390,9403,397,2023-08-07,B
391,7131,2579,2023-10-29,B
392,4295,2198,2023-03-02,A
393,5318,4811,2023-03-02,B
394,6034,1971,2023-10-20,A
395,8931,6147,2023-08-01,A
396,4491,8664,2022-12-28,A
397,6696,3734,2023-02-12,A
398,2812,8924,2023-05-11,A
399,2110,8160,2023-07-12,B
400,5899,5911,2023-10-16,A
401,2176,6234,2023-07-06,A
402,8543,9238,2023-12-02,B
403,3810,3748,2023-03-31,B
404,4630,7210,2023-10-05,B
405,9333,9179,2023-03-09,A
406,6023,4286,2023-08-22,A
407,9683,6553,2023-08-09,B
408,3384,205,2023-11-21,A
409,6151,9491,2023-01-28,B
410,5657,8689,2023-04-30,B
411,2059,1406,2023-11-21,A
412,7719,8422,2023-01-30,B
413,679,4869,2023-09-29,B
414,7691,7689,2023-06-09,A
415,2873,2969,2023-05-09,A
416,2383,5284,2023-01-18,A
417,4667,1848,2023-06-14,A
418,7502,5580,2023-06-09,A
419,4974,4175,2023-05-19,B
420,8316,9877,2023-07-14,A
421,9463,9649,2022-12-28,A
422,2075,9390,2023-11-26,B
423,5106,9158,2023-12-05,A
424,3038,515,2023-08-18,B
425,8370,4603,2023-03-09,B
426,4837,7054,2023-11-25,A
427,917,6663,2023-12-02,A
428,2455,3789,2023-10-26,B
429,7864,9760,2023-06-15,B
430,8191,664,2023-02-06,A
431,2471,7127,2023-02-25,B
432,3975,688,2023-10-28,B
433,3021,8562,2023-08-08,A
434,3978,761,2023-10-15,B
435,9690,7272,2023-03-31,A
436,1277,2498,2023-02-09,B
437,3020,7703,2023-01-11,A
438,2439,9714,2023-11-07,B
439,1866,7952,2023-07-24,B
440,2318,703,2023-04-27,A
441,3807,6941,2023-08-25,B
442,8060,3559,2023-08-13,B
443,6125,8445,2023-08-04,A
444,7963,8111,2023-04-23,B
445,4997,7986,2023-06-25,A
446,8815,1898,2023-09-02,B
447,8536,4076,2023-07-01,A
448,3778,4037,2023-02-03,A
449,4143,4301,2023-01-25,A
450,5081,8026,2023-06-27,A
451,7095,4422,2023-11-22,A
452,1792,6401,2023-04-25,A
453,9815,7255,2023-04-17,A
454,1373,9750,2023-07-07,A
455,5619,6388,2023-06-20,B
456,5956,1059,2023-03-26,A
457,7519,5712,2023-05-17,A
458,6387,3297,2023-03-30,B
459,1639,8032,2023-06-14,A
460,4846,7883,2023-06-27,A
461,9109,3293,2023-01-23,B
462,1622,691,2023-02-12,A
463,8548,154,2023-06-19,B
464,407,6570,2023-10-24,B
465,7234,899,2023-09-12,A
466,7977,6069,2023-05-02,A
467,49,8674,2023-08-27,A
468,707,3318,2023-07-13,A
469,8470,5230,2023-11-25,B
470,7829,5113,2023-10-08,B
471,9051,82,2023-08-26,B
472,342,3650,2023-04-03,B
473,4107,5073,2023-09-02,B
474,843,4233,2023-02-10,A
475,6461,884,2023-06-22,A
476,7555,174,2023-02-26,A
477,7915,8054,2023-04-28,B
478,2766,8421,2023-08-06,A
479,7420,5798,2023-04-21,B
480,1053,6522,2023-01-12,B
481,86,7364,2023-04-27,A
482,3929,7472,2023-06-02,B
483,543,6355,2023-12-17,A
484,7835,4215,2023-03-21,B
485,3297,880,2023-07-11,B
486,5970,153,2023-09-09,A
487,538,1225,2023-07-11,B
488,861,7667,2023-05-27,B
489,1504,265,2023-04-18,A
490,5906,9724,2023-11-20,B
491,3920,3627,2023-05-04,A
492,5897,6465,2023-07-06,A
493,4997,3644,2023-08-27,B
494,6358,6163,2023-10-20,A
495,5839,8560,2023-06-13,A
496,7807,6842,2023-11-24,A
497,4731,3397,2023-09-12,A
498,389,692,2023-09-30,B
499,67,2164,2023-11-30,B
500,1213,6218,2023-03-26,B
501,652,7458,2023-06-11,A
502,5389,4117,2023-07-14,B
503,5432,7948,2023-08-19,A
504,6559,2660,2023-08-12,A
505,9756,8409,2023-09-12,B
506,4898,8557,2023-03-02,A
507,9638,3841,2023-12-12,B
508,8840,4366,2023-06-12,A
509,1321,6254,2023-03-31,B
510,6898,1200,2023-06-12,A
511,8723,4832,2023-03-06,B
512,3256,9948,2022-12-24,A
513,169,794,2023-08-18,A
514,4210,6295,2023-02-03,B
515,185,4889,2023-08-03,A
516,2255,6920,2023-03-12,B
517,8501,7306,2023-11-15,A
518,2992,5316,2023-03-20,A
519,7545,1509,2023-06-26,A
520,5403,6931,2023-02-17,A
521,1869,5017,2023-01-11,A
522,3269,9320,2023-04-19,B
523,9663,288,2023-09-24,A
524,9559,3653,2023-01-07,B
525,6060,9412,2023-02-01,B
526,4175,2385,2023-01-13,B
527,998,5472,2023-07-16,B
528,3976,3632,2023-05-09,A
529,2645,2418,2023-07-24,A
530,5151,5182,2023-12-06,B
531,2300,1299,2023-01-06,A
532,1568,5631,2023-08-19,A
533,1414,6014,2023-05-24,A
534,8003,6722,2023-01-06,B
535,349,8258,2023-12-14,B
536,1410,7773,2023-07-06,B
537,5329,7106,2023-01-08,B
538,3363,7617,2023-03-06,B
539,1662,6918,2023-01-06,B
540,7504,5730,2023-05-12,A
541,9114,5050,2023-03-09,A
542,8167,7705,2023-07-29,B
543,2900,3519,2023-02-01,A
544,2900,2750,2023-06-21,B
545,9779,7944,2023-12-09,B
546,9204,1813,2023-10-30,A
547,4760,8329,2023-03-29,A
548,7105,2,2023-02-08,A
549,1284,5997,2023-05-13,A
550,4950,6740,2023-02-02,A
551,3630,6039,2023-01-17,B
552,4069,5159,2023-08-14,A
553,1523,243,2023-04-24,A
554,2540,5216,2023-02-17,B
555,7822,9193,2023-09-22,A
556,7107,770,2023-09-21,A
557,4022,9148,2023-08-10,A
558,3595,5207,2023-06-14,A
559,7344,4865,2023-09-30,B
560,7519,6950,2023-10-04,A
561,3960,9479,2023-06-04,B
562,9135,8267,2023-08-01,A
563,2404,7507,2023-12-11,B
564,4486,5156,2023-09-29,B
565,3758,354,2023-12-04,A
566,5561,3579,2023-11-08,B
567,2958,8834,2023-06-12,B
568,4029,190,2023-02-02,A
569,2101,9293,2023-12-17,A
570,4188,2131,2023-03-02,A
571,6050,8052,2023-10-06,B
572,5663,9117,2023-02-12,B
573,2345,4845,2023-04-04,A
574,5452,3049,2023-02-01,B
575,9827,3236,2023-04-22,A
576,8821,2753,2023-03-31,B
577,9372,2092,2023-09-28,B
578,161,4490,2023-10-12,B
579,5917,496,2023-07-03,A
580,6520,6180,2023-11-04,B
581,6782,9429,2023-04-18,B
582,8095,3383,2023-09-18,A
583,7114,6566,2023-10-29,B
584,4250,8019,2023-03-29,A
585,1296,8480,2023-02-15,B
586,44,8875,2023-07-21,A
587,154,7046,2023-07-02,A
588,9185,7830,2023-10-25,A
589,7663,4844,2023-11-08,A
590,4360,6972,2023-10-18,B
591,4616,9102,2023-10-23,A
592,3,7023,2023-06-19,A
593,6942,1359,2023-05-19,B
594,908,7253,2023-08-15,B
595,9081,7584,2023-11-28,A
596,1095,3600,2023-07-03,A
597,9774,511,2023-08-26,A
598,3517,3647,2023-03-17,B
599,4398,9514,2023-07-16,A
600,3542,7707,2023-03-09,B
601,8437,2882,2023-01-24,B
602,6962,4252,2023-12-09,B
603,4409,4727,2023-12-08,B
604,8107,6932,2023-12-10,A
605,3443,4540,2023-09-27,B
606,4103,5779,2023-04-26,B
607,8230,4354,2023-04-08,A
608,474,5339,2023-06-13,A
609,5888,8417,2023-07-14,B
610,965,4293,2023-02-13,B
611,4074,503,2023-12-12,B
612,8895,4611,2023-05-04,B
613,921,589,2023-12-16,B
614,5157,8365,2023-05-05,B
615,4309,1520,2023-07-05,B
616,29,3714,2023-02-16,A
617,880,605,2023-12-09,A
618,9342,6414,2023-07-28,A
619,2747,806,2023-05-25,B
620,5271,6772,2023-03-04,B
621,5465,7557,2023-11-02,A
622,7228,3299,2023-06-30,A
623,6343,9248,2023-04-03,B
624,9935,4730,2023-08-04,B
625,3670,3221,2023-06-19,B
626,3813,1600,2023-04-27,B
627,393,7912,2023-02-20,B
628,5707,4022,2023-09-04,A
629,5448,8588,2023-04-26,B
630,6271,9720,2022-12-30,B
631,9536,8337,2023-09-01,A
632,2613,1961,2023-10-12,A
633,3783,7108,2023-07-22,B
634,5611,9140,2023-02-02,B
635,7947,9009,2023-11-09,B
636,1312,9609,2023-07-26,A
637,6204,5905,2023-11-19,B
638,1512,7007,2023-12-04,A
639,5892,5023,2023-03-26,A
640,8272,5008,2023-12-14,B
641,9785,653,2023-08-02,B
642,6188,8190,2023-09-26,B
643,9623,6049,2023-11-02,B
644,9477,1225,2023-03-17,A
645,897,97,2023-03-13,B
646,16,4039,2023-12-17,B
647,2607,7207,2023-02-26,B
648,2637,4813,2023-05-12,B
649,3182,6923,2023-06-20,A
650,7675,4645,2023-12-15,B
651,4737,2479,2023-02-27,A
652,2892,3991,2023-11-06,A
653,8208,7819,2023-07-12,B
654,1048,8564,2023-01-03,A
655,4375,3836,2023-05-16,B
656,5669,2042,2023-08-28,B
657,9847,9561,2023-02-24,A
658,8332,3789,2023-07-31,B
659,9,4933,2023-07-06,B
660,8068,5149,2023-10-27,A
661,6607,6303,2023-10-22,B
662,2654,4635,2023-06-15,A
663,5157,9307,2023-11-14,B
664,3811,6849,2023-09-11,A
665,9155,5215,2023-02-11,B
666,1211,3826,2023-06-05,B
667,3557,9754,2023-03-02,A
668,1850,5564,2023-10-01,A
669,6466,8363,2023-09-25,B
670,7708,7566,2023-07-04,A
671,40,7705,2023-02-19,B
672,9289,9748,2023-11-21,B
673,2909,9232,2023-03-26,B
674,5047,6827,2023-01-28,A
675,5434,3724,2023-09-29,A
676,5080,4181,2023-05-30,B
677,1948,2370,2023-05-17,A
678,6537,3954,2023-12-17,B
679,4209,4231,2023-02-14,B
680,4165,971,2023-09-27,B
681,7351,96,2023-02-18,A
682,3930,4125,2023-02-03,A
683,2450,6879,2023-04-09,A
684,1846,5435,2023-10-24,A
685,4462,6687,2023-12-21,A
686,743,3184,2023-08-10,B
687,3374,208,2023-11-19,A
688,7082,3507,2023-05-07,A
689,5743,5949,2023-09-22,A
690,6070,6180,2023-09-15,A
691,6539,7925,2023-12-22,B
692,1227,7392,2023-08-25,A
693,1209,3422,2023-08-17,B
694,5277,4948,2023-01-31,B
695,1795,9859,2023-08-02,B
696,8143,790,2023-01-09,B
697,7608,2338,2023-02-02,B
698,9933,7752,2023-01-30,A
699,776,9293,2023-07-25,A
700,1539,9329,2023-10-09,A
701,4702,7033,2023-11-14,A
702,7867,6703,2022-12-26,B
703,7547,9361,2023-07-24,A
704,1160,7610,2023-07-09,A
705,6363,1774,2022-12-31,A
706,8518,1879,2023-08-04,A
707,6248,584,2023-07-23,B
708,3095,8102,2023-11-08,A
709,5407,1585,2023-10-21,A
710,3743,7398,2023-05-26,B
711,5754,8950,2023-03-24,A
712,468,580,2023-10-29,B
713,4181,3704,2023-05-18,B
714,5936,3361,2023-01-28,A
715,7442,2557,2023-12-06,A
716,1691,4616,2023-03-05,B
717,6909,5985,2023-01-21,B
718,2595,8861,2023-04-29,B
719,468,4327,2023-12-14,B
720,173,6346,2023-11-08,B
721,1416,6052,2023-05-17,A
722,1498,1769,2023-07-17,B
723,9119,6295,2023-07-25,A
724,6158,5685,2022-12-24,A
725,3582,9852,2023-02-15,A
726,9570,8777,2023-06-17,B
727,2165,2212,2023-07-09,B
728,7210,7508,2023-05-21,B
729,7390,5879,2023-04-03,B
730,769,8376,2023-01-07,A
731,4990,6722,2023-02-10,A
732,9241,7106,2023-03-13,B
733,5157,2639,2023-03-16,A
734,353,9647,2023-04-05,B
735,3148,4933,2023-06-15,A
736,924,660,2023-12-03,A
737,1689,6483,2023-03-29,B
738,4365,9984,2023-04-18,A
739,320,9127,2023-07-05,B
740,5960,1808,2023-11-10,A
741,8374,759,2023-02-09,A
742,9368,3611,2022-12-24,B
743,4755,7008,2023-11-24,A
744,1900,965,2023-01-23,A
745,6329,3416,2023-03-02,A
746,6775,3243,2023-05-21,B
747,962,5626,2023-06-14,B
748,994,6930,2023-10-23,B
749,2760,1138,2023-03-27,A
750,5945,8818,2023-05-08,A
751,5319,2145,2023-07-02,B
752,2705,1319,2023-02-16,B
753,6800,8652,2023-09-09,B
754,3142,677,2023-07-31,B
755,6924,1340,2023-05-20,B
756,264,4493,2023-10-22,A
757,9456,2591,2023-07-08,B
758,2014,4606,2023-04-11,A
759,4648,9870,2023-06-08,B
760,860,2056,2023-03-17,A
761,8532,5684,2023-09-11,B
762,6789,2793,2023-08-13,B
763,7256,7448,2023-06-06,B
764,8667,8284,2023-06-08,A
765,4928,7930,2023-06-28,A
766,8116,8948,2023-12-08,B
767,4368,6515,2023-01-11,B
768,648,9802,2023-04-09,B
769,8365,4089,2023-06-10,A
770,6420,8614,2023-08-06,A
771,4532,3088,2023-10-16,B
772,4248,1370,2023-07-26,B
773,9744,9485,2023-02-27,A
774,7926,2131,2023-04-16,B
775,9318,2621,2023-06-18,B
776,4003,6342,2023-01-03,B
777,8233,2767,2023-01-23,B
778,9507,5383,2023-02-19,B
779,3920,2138,2023-01-31,B
780,4395,7264,2023-08-30,A
781,9952,8149,2023-11-20,B
782,7299,6519,2023-11-27,A
783,7482,5670,2023-05-21,A
784,4845,6687,2023-02-01,A
785,5534,4325,2023-06-22,A
786,5605,1620,2023-11-06,A
787,3971,5157,2023-08-03,A
788,7871,7660,2023-07-05,A
789,8140,9387,2023-09-22,A
790,4474,9161,2023-09-26,A
791,5032,1849,2023-07-24,B
792,3555,2172,2023-12-16,A
793,1649,4911,2023-01-06,A
794,7683,8511,2023-01-10,A
795,1444,1242,2023-10-15,B
796,2692,6464,2023-07-21,A
797,6387,6465,2023-08-29,B
798,2567,3603,2023-12-11,A
799,2863,2031,2023-10-26,A
800,3970,4649,2023-11-04,A
801,9608,9872,2023-12-03,A
802,3708,9350,2023-05-31,A
803,3539,7442,2023-04-26,A
804,3377,4995,2023-06-29,B
805,1632,462,2023-03-27,B
806,6123,3598,2023-01-05,B
807,7729,6687,2023-12-13,A
808,5149,2207,2023-06-02,A
809,9854,5296,2023-04-14,B
810,2710,7474,2023-01-19,A
811,1189,4595,2023-01-13,A
812,8091,663,2023-01-27,A
813,8920,4975,2023-03-01,B
814,3895,2532,2023-11-17,B
815,3434,5356,2023-04-30,B
816,2148,1792,2023-09-22,B
817,8443,623,2023-03-13,B
818,1953,8577,2023-04-10,B
819,5863,1153,2023-02-27,B
820,2558,537,2023-06-23,A
821,2221,747,2023-04-08,A
822,4351,2417,2023-01-27,B
823,2415,8368,2023-07-08,B
824,5626,4478,2023-06-04,A
825,4093,8088,2023-02-28,B
826,8144,1152,2023-11-04,A
827,1870,9844,2023-08-13,B
828,1684,2918,2023-01-08,B
829,6008,3273,2023-02-21,A
830,4359,6168,2023-03-14,A
831,8229,237,2023-04-29,A
